#         patch                     x                        y                        z            
  8.4000000000000000e+01   2.2494725043386257e-01   9.0919901225529925e-02  -9.7011973801350160e-01
  8.5000000000000000e+01   2.8015787697729638e-01   6.9482291602280283e-02  -9.5743604231367319e-01
  8.6000000000000000e+01   2.9017094199986221e-01   8.5078153526168307e-02  -9.5318546579954222e-01
  8.7000000000000000e+01   9.4642155472755309e-04   1.5039074460356833e-01  -9.8862618224677068e-01
  8.8000000000000000e+01   9.1562860455914243e-03   1.7253725031703415e-01  -9.8496043559063240e-01
  8.9000000000000000e+01   5.7121791171620161e-02   1.7026130154359742e-01  -9.8374193270899357e-01
  9.0000000000000000e+01   1.9290252192616018e-02   2.5082366589082250e-01  -9.6784057302813786e-01
  9.1000000000000000e+01   3.2447297148448018e-02   2.5564639383954890e-01  -9.6622569528272972e-01
  9.2000000000000000e+01   6.1834823204962468e-02   3.1440355289917726e-01  -9.4727338216778012e-01
  9.3000000000000000e+01   1.4534962594026260e-01   2.2526499671685993e-01  -9.6339460632348306e-01
  9.4000000000000000e+01   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00
  9.5000000000000000e+01   1.0829739618485028e-01   2.7525882223444370e-01  -9.5525088576859662e-01
  9.6000000000000000e+01   1.9202735426304940e-01   1.2960513314412556e-01  -9.7279391685876959e-01
  9.7000000000000000e+01   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00
  9.8000000000000000e+01   2.8198960135991008e-01   1.2974705675519346e-01  -9.5060379022400476e-01
  9.9000000000000000e+01  -3.5937884739507842e-01  -3.3242487484928562e-01  -8.7197508371880761e-01
  1.0000000000000000e+02  -3.7730373709328513e-01  -3.9726561193125015e-01  -8.3655359873252033e-01
  1.0100000000000000e+02  -3.0927416852534617e-01  -2.6642324666086703e-01  -9.1288999464428278e-01
  1.0200000000000000e+02  -5.8260075533793798e-01  -3.4441640833923487e-01  -7.3617504545207557e-01
  1.0300000000000000e+02  -3.1921087338529897e-01  -1.9150191208404457e-01  -9.2813330722517962e-01
  1.0400000000000000e+02  -5.3766698246405720e-01  -1.5761131206358833e-01  -8.2829517098531313e-01
  1.0500000000000000e+02  -4.3074636931924981e-01  -1.9382787779695873e-01  -8.8141268376794513e-01
  1.0600000000000000e+02  -2.4196136604006574e-01  -4.3056179968248454e-01  -8.6952356724714797e-01
  1.0700000000000000e+02  -2.5978316479739427e-01  -3.8206278249539805e-01  -8.8687131959474474e-01
  1.0800000000000000e+02  -2.2030850743645228e-01  -3.2393350767259260e-01  -9.2007132558190996e-01
  1.0900000000000000e+02  -7.7391725398777894e-02  -5.5052543916340424e-01  -8.3122335245933809e-01
  1.1000000000000000e+02  -1.4262289809840242e-01  -3.4838138896224663e-01  -9.2643894389363202e-01
  1.1100000000000000e+02  -8.4606043521693666e-02  -4.3163403826116675e-01  -8.9807231023674428e-01
  1.1200000000000000e+02  -5.0647893812083766e-01   2.6540606560624853e-02  -8.6184376858185996e-01
  1.1300000000000000e+02  -3.9484796101594521e-01   3.9829162666277236e-02  -9.1788274059536268e-01
  1.1400000000000000e+02  -3.8981218924079547e-01   1.1477704646504033e-01  -9.1371367874409115e-01
  1.1500000000000000e+02  -5.2374782030871658e-01   2.0974266242941828e-01  -8.2564897885171973e-01
  1.1600000000000000e+02  -3.7438450113432542e-01   1.9992843462601254e-01  -9.0546389565702423e-01
  1.1700000000000000e+02  -3.0860016323512562e-01   1.9563390270228970e-01  -9.3085622701076931e-01
